 2022-01-29 14:35:19,078 - 'h'
 2022-01-29 14:35:19,254 - 'e'
 2022-01-29 14:35:19,541 - 'l'
 2022-01-29 14:35:19,701 - 'l'
 2022-01-29 14:35:19,925 - 'o'
 2022-01-29 14:35:20,230 - 'm'
 2022-01-29 14:35:20,598 - 'y'
 2022-01-29 14:35:20,901 - 'n'
 2022-01-29 14:35:21,093 - 'a'
 2022-01-29 14:35:21,173 - 'm'
 2022-01-29 14:35:21,365 - 'e'
 2022-01-29 14:35:21,910 - 'i'
 2022-01-29 14:35:22,101 - 's'
 2022-01-29 14:35:22,533 - 't'
 2022-01-29 14:35:22,805 - 'e'
 2022-01-29 14:35:23,141 - 'j'
 2022-01-29 14:35:23,413 - 'a'
 2022-01-29 14:35:26,117 - Key.esc
