 2022-01-29 15:28:34,907 - 'm'
 2022-01-29 15:28:35,307 - 'y'
 2022-01-29 15:28:35,530 - Key.space
 2022-01-29 15:28:36,282 - 'n'
 2022-01-29 15:28:36,410 - 'a'
 2022-01-29 15:28:36,522 - 'm'
 2022-01-29 15:28:36,714 - 'e'
 2022-01-29 15:28:36,858 - Key.space
 2022-01-29 15:28:37,450 - 'u'
 2022-01-29 15:28:37,914 - Key.backspace
 2022-01-29 15:28:38,234 - 'i'
 2022-01-29 15:28:38,362 - 's'
 2022-01-29 15:28:38,474 - Key.space
 2022-01-29 15:28:39,466 - 't'
 2022-01-29 15:28:39,594 - 'e'
 2022-01-29 15:28:40,026 - 'j'
 2022-01-29 15:28:40,154 - 'a'
 2022-01-29 15:28:42,250 - Key.backspace
 2022-01-29 15:28:42,501 - Key.backspace
 2022-01-29 15:28:42,551 - Key.backspace
 2022-01-29 15:28:42,603 - Key.backspace
 2022-01-29 15:28:42,654 - Key.backspace
 2022-01-29 15:28:42,705 - Key.backspace
 2022-01-29 15:28:42,756 - Key.backspace
 2022-01-29 15:28:42,807 - Key.backspace
 2022-01-29 15:28:42,858 - Key.backspace
 2022-01-29 15:28:43,066 - Key.backspace
 2022-01-29 15:28:43,242 - Key.backspace
 2022-01-29 15:28:43,386 - Key.backspace
 2022-01-29 15:28:43,546 - Key.backspace
 2022-01-29 15:28:43,690 - Key.backspace
 2022-01-29 15:28:43,834 - Key.backspace
 2022-01-29 15:28:43,978 - Key.backspace
 2022-01-29 15:28:45,242 - Key.esc
